month_date,factor1_promotional_intensity,factor2_operational_efficiency,factor3_payment_mix,factor4_customer_value,factor5_concentration,total_orders,net_sales,total_units
2022-10-01 00:00:00+00,1.38,100.00,54.55,433.03,0.6654,44,19053.25,56
2022-11-01 00:00:00+00,3.54,100.00,53.42,430.51,0.6014,73,31427.50,94
2022-12-01 00:00:00+00,5.42,100.00,28.57,375.63,0.4319,14,5258.75,16
2023-01-01 00:00:00+00,3.47,100.00,51.79,443.75,0.7645,56,24849.83,76
2023-02-01 00:00:00+00,3.27,100.00,53.72,447.37,0.7498,121,54131.70,165
2023-03-01 00:00:00+00,6.52,100.00,50.60,416.12,0.8285,168,69908.00,223
2023-04-01 00:00:00+00,2.62,100.00,46.43,444.11,0.6802,112,49740.13,148
2023-05-01 00:00:00+00,5.25,100.00,45.00,422.28,0.7124,240,101347.32,318
2023-06-01 00:00:00+00,6.84,100.00,52.73,414.08,0.8280,330,136647.06,454
2023-07-01 00:00:00+00,4.78,100.00,58.80,465.49,0.8053,250,116372.48,357
2023-08-01 00:00:00+00,4.85,100.00,58.17,445.67,0.6911,208,92700.09,291
2023-09-01 00:00:00+00,6.47,100.00,53.89,429.43,0.7212,321,137846.14,455
2023-10-01 00:00:00+00,6.71,100.00,50.85,409.04,0.7951,352,143982.08,449
2023-11-01 00:00:00+00,10.08,100.00,59.93,490.57,0.7412,272,133436.05,441
2023-12-01 00:00:00+00,7.30,100.00,57.77,435.45,0.8133,367,159809.26,504
2024-01-01 00:00:00+00,3.96,100.00,57.14,475.35,0.7212,287,136425.52,414
2024-02-01 00:00:00+00,3.62,100.00,55.25,488.74,0.7936,219,107034.68,318
2024-03-01 00:00:00+00,5.53,100.00,57.92,528.63,0.7737,221,116827.79,360
2024-04-01 00:00:00+00,6.71,100.00,52.97,411.47,0.8218,370,152242.74,476
2024-05-01 00:00:00+00,5.78,100.00,59.68,498.16,0.8167,248,123544.00,379
2024-06-01 00:00:00+00,5.71,100.00,58.44,437.77,0.7537,243,106378.66,336
2024-07-01 00:00:00+00,4.82,100.00,56.67,469.10,0.8437,240,112583.43,344
2024-08-01 00:00:00+00,4.82,100.00,59.67,469.36,0.7227,305,143155.81,435
2024-09-01 00:00:00+00,7.04,100.00,60.34,432.01,0.8316,290,125282.10,406
2024-10-01 00:00:00+00,4.90,100.00,59.41,507.71,0.8773,202,102557.30,297
2024-11-01 00:00:00+00,6.35,100.00,55.00,445.81,0.8487,300,133742.43,401
2024-12-01 00:00:00+00,8.06,100.00,59.67,489.54,0.7169,362,177211.69,555
2025-01-01 00:00:00+00,8.27,100.00,57.21,543.31,0.8079,215,116812.49,352
2025-02-01 00:00:00+00,9.34,100.00,60.00,442.91,0.6572,330,146159.89,469
2025-03-01 00:00:00+00,9.75,100.00,63.52,555.76,0.7215,233,129492.03,399
2025-04-01 00:00:00+00,9.03,100.00,60.80,578.99,0.7789,176,101901.46,305
2025-05-01 00:00:00+00,7.02,100.00,53.59,515.07,0.8368,237,122071.38,352
2025-06-01 00:00:00+00,7.16,100.00,59.36,521.98,0.7782,219,114313.92,327
2025-07-01 00:00:00+00,5.95,100.00,63.16,578.81,0.7591,247,142965.13,374
2025-08-01 00:00:00+00,5.75,100.00,60.36,558.09,0.7089,222,123894.99,339
2025-09-01 00:00:00+00,5.60,100.00,69.07,587.25,0.7493,194,113927.10,318
2025-10-01 00:00:00+00,5.58,100.00,63.58,550.22,0.7716,151,83082.93,221
