Factor,Outcome,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,Significant,Stars,Note
Factor 1: Promotional Intensity,Total Orders,0.5467096503477019,0.0004634609825151637,0.5069662663798155,0.0013639017972552716,True,***,
Factor 1: Promotional Intensity,Net Sales (₱),0.6133934118875154,5.419991655531756e-05,0.6023710771436447,7.988529343001631e-05,True,***,
Factor 1: Promotional Intensity,Total Units,0.6340540410064851,2.5152945805814458e-05,0.6164245576328107,4.859104655550096e-05,True,***,
Factor 2: Operational Efficiency,Total Orders,,,,,False,,Constant variable
Factor 2: Operational Efficiency,Net Sales (₱),,,,,False,,Constant variable
Factor 2: Operational Efficiency,Total Units,,,,,False,,Constant variable
Factor 3: Payment Mix,Total Orders,0.3624751722311539,0.027470842407812685,0.13813137398493713,0.4149000127657799,True,*,
Factor 3: Payment Mix,Net Sales (₱),0.526161742154336,0.00082321676369221,0.3007527715555276,0.07048947537778259,True,***,
Factor 3: Payment Mix,Total Units,0.46831131564153106,0.003464533590813624,0.23479189561058633,0.1618707869195335,True,**,
Factor 4: Customer Value (AOV),Total Orders,-0.019228976534171563,0.9100614273009111,-0.18649594224612842,0.2690704053993862,False,,
Factor 4: Customer Value (AOV),Net Sales (₱),0.2605944020330409,0.11928501987630896,0.051683262209578,0.7612879781800548,False,,
Factor 4: Customer Value (AOV),Total Units,0.14958780518070933,0.37687788385255466,-0.048971366353962896,0.773476986254926,False,,
Factor 5: Concentration,Total Orders,0.48059431057643914,0.0026062922981147795,0.2702157951173148,0.10577147933170834,True,**,
Factor 5: Concentration,Net Sales (₱),0.4950396086597816,0.0018396390403250093,0.21125007446273164,0.20944172299367786,True,**,
Factor 5: Concentration,Total Units,0.4748521004219991,0.00298109946234005,0.23834934857438309,0.15542439277975492,True,**,
