ds,is_mega_sale_day,is_payday,is_weekend,aov,promo_intensity,base_forecast,hybrid_forecast,model
2025-10-31,0,1,0,538.4313333333333,5.913666666666667,2952.5349130640625,1951.5681161890625,SARIMAX
2025-11-01,1,0,1,538.4313333333333,5.913666666666667,7411.057190961163,7162.087388104717,SARIMAX
2025-11-02,0,0,1,538.4313333333333,5.913666666666667,3104.1181229016884,451.35445102668837,SARIMAX
2025-11-03,0,0,0,538.4313333333333,5.913666666666667,3080.7293298180957,1426.7746179040332,SARIMAX
2025-11-04,0,0,0,538.4313333333333,5.913666666666667,3202.166283426952,2444.3062980753893,SARIMAX
2025-11-05,0,0,0,538.4313333333333,5.913666666666667,3158.9473252336925,4150.633665565723,SARIMAX
2025-11-06,0,0,0,538.4313333333333,5.913666666666667,3195.4570940975077,2040.6712054256327,SARIMAX
2025-11-07,0,0,0,538.4313333333333,5.913666666666667,2962.6349234326663,2893.7466711743655,SARIMAX
2025-11-08,0,0,1,538.4313333333333,5.913666666666667,3261.897483928078,3723.440452678078,SARIMAX
2025-11-09,0,0,1,538.4313333333333,5.913666666666667,3166.542599242556,4481.975948851931,SARIMAX
2025-11-10,0,0,0,538.4313333333333,5.913666666666667,3114.8428938126813,2110.017637465025,SARIMAX
2025-11-11,1,0,0,538.4313333333333,5.913666666666667,7443.389146090705,9891.716782809455,SARIMAX
2025-11-12,0,0,0,538.4313333333333,5.913666666666667,3170.375497976243,3583.691965261399,SARIMAX
2025-11-13,0,0,0,538.4313333333333,5.913666666666667,3199.1031213939373,4835.583346003312,SARIMAX
2025-11-14,0,0,0,538.4313333333333,5.913666666666667,3010.2151647981404,2974.65686477983,SARIMAX
2025-11-15,0,1,1,538.4313333333333,5.913666666666667,3515.699106767282,2702.914682939157,SARIMAX
2025-11-16,0,0,1,538.4313333333333,5.913666666666667,3193.35134228833,2754.707696048096,SARIMAX
2025-11-17,0,0,0,538.4313333333333,5.913666666666667,3133.29550592098,3595.6467937627767,SARIMAX
2025-11-18,0,0,0,538.4313333333333,5.913666666666667,3208.3773470733972,4948.165799221835,SARIMAX
2025-11-19,0,0,0,538.4313333333333,5.913666666666667,3178.2613352143812,3248.68152411819,SARIMAX
2025-11-20,0,0,0,538.4313333333333,5.913666666666667,3201.526766221351,7010.485750596351,SARIMAX
2025-11-21,0,0,0,538.4313333333333,5.913666666666667,3048.545921594561,5429.246849328936,SARIMAX
2025-11-22,0,0,1,538.4313333333333,5.913666666666667,3277.61955604815,3175.032138445611,SARIMAX
2025-11-23,0,0,1,538.4313333333333,5.913666666666667,3215.03322455168,6998.019308536055,SARIMAX
2025-11-24,0,0,0,538.4313333333333,5.913666666666667,3148.228487805183,5811.735323742683,SARIMAX
2025-11-25,0,0,0,538.4313333333333,5.913666666666667,3209.0372896810773,2504.1004000326398,SARIMAX
2025-11-26,0,0,0,538.4313333333333,5.913666666666667,3184.6463168285873,2494.4334872387435,SARIMAX
2025-11-27,0,0,0,538.4313333333333,5.913666666666667,3203.488996699919,3143.1952421222823,SARIMAX
2025-11-28,0,0,0,538.4313333333333,5.913666666666667,3079.589752961301,4404.699860383176,SARIMAX
2025-11-29,0,0,1,538.4313333333333,5.913666666666667,3283.2820431858167,7977.498351779566,SARIMAX
2025-11-30,0,1,1,538.4313333333333,5.913666666666667,3477.6646107764495,5420.6505726905125,SARIMAX
2025-12-01,0,0,0,538.4313333333333,5.913666666666667,3160.3227002476588,6723.235297903909,SARIMAX
