ds,is_mega_sale_day,is_payday,is_weekend,aov,promo_intensity,base_forecast,hybrid_forecast,model
2025-10-31,0,1,0,590.239,16.34433333333333,28473.165687328743,26424.630531078743,Prophet
2025-11-01,1,0,1,590.239,16.34433333333333,45549.13865184723,41851.63010692535,Prophet
2025-11-02,0,0,1,590.239,16.34433333333333,23929.24645890605,20454.842894452926,Prophet
2025-11-03,0,0,0,590.239,16.34433333333333,23965.157415564645,24534.002630408395,Prophet
2025-11-04,0,0,0,590.239,16.34433333333333,24535.574727823332,22066.675069620207,Prophet
2025-11-05,0,0,0,590.239,16.34433333333333,23648.569542366215,21518.63277478809,Prophet
2025-11-06,0,0,0,590.239,16.34433333333333,23718.394307539762,22073.811910078824,Prophet
2025-11-07,0,0,0,590.239,16.34433333333333,23458.019568750165,22896.443274804853,Prophet
2025-11-08,0,0,1,590.239,16.34433333333333,22884.526651455275,19740.29300887715,Prophet
2025-11-09,0,0,1,590.239,16.34433333333333,23567.701827945737,18036.783859195737,Prophet
2025-11-10,0,0,0,590.239,16.34433333333333,23474.463657111548,21398.828403205298,Prophet
2025-11-11,1,0,0,590.239,16.34433333333333,46373.57823798811,59976.24132392561,Prophet
2025-11-12,0,0,0,590.239,16.34433333333333,22948.88787755127,20493.655211535646,Prophet
2025-11-13,0,0,0,590.239,16.34433333333333,22946.80634550574,26755.21357206824,Prophet
2025-11-14,0,0,0,590.239,16.34433333333333,22640.71503630223,23714.50556364598,Prophet
2025-11-15,0,1,1,590.239,16.34433333333333,26989.299019968974,26041.446175730693,Prophet
2025-11-16,0,0,1,590.239,16.34433333333333,22746.996679861768,28427.731543143018,Prophet
2025-11-17,0,0,0,590.239,16.34433333333333,22698.841846182182,20761.34270067437,Prophet
2025-11-18,0,0,0,590.239,16.34433333333333,23231.830402344684,19887.07527539156,Prophet
2025-11-19,0,0,0,590.239,16.34433333333333,22357.371991452506,21096.690717038444,Prophet
2025-11-20,0,0,0,590.239,16.34433333333333,22491.71683770932,29233.37406427182,Prophet
2025-11-21,0,0,0,590.239,16.34433333333333,22348.38909061152,30752.25530154902,Prophet
2025-11-22,0,0,1,590.239,16.34433333333333,21943.51538519844,32516.20581488594,Prophet
