ds,is_mega_sale_day,is_payday,is_weekend,aov,promo_intensity,base_forecast,hybrid_forecast,model
2025-10-31,0,1,0,590.239,16.34433333333333,25928.850175921296,19186.664629046296,SARIMAX
2025-11-01,1,0,1,590.239,16.34433333333333,42775.98635984245,41142.53579831901,SARIMAX
2025-11-02,0,0,1,590.239,16.34433333333333,21251.83371682609,19013.023902372966,SARIMAX
2025-11-03,0,0,0,590.239,16.34433333333333,22329.578215553178,20534.543425514115,SARIMAX
2025-11-04,0,0,0,590.239,16.34433333333333,21844.66026048513,21499.324719713644,SARIMAX
2025-11-05,0,0,0,590.239,16.34433333333333,21855.275474759692,16738.877525540942,SARIMAX
2025-11-06,0,0,0,590.239,16.34433333333333,21252.683113189272,20122.568122954897,SARIMAX
2025-11-07,0,0,0,590.239,16.34433333333333,22226.52135572623,18937.066033460604,SARIMAX
2025-11-08,0,0,1,590.239,16.34433333333333,22124.12343125948,13674.099017196979,SARIMAX
2025-11-09,0,0,1,590.239,16.34433333333333,22344.291879217613,21200.3396087098,SARIMAX
2025-11-10,0,0,0,590.239,16.34433333333333,22552.001060767372,22729.225487036903,SARIMAX
2025-11-11,1,0,0,590.239,16.34433333333333,44965.5969033974,57232.9426065224,SARIMAX
2025-11-12,0,0,0,590.239,16.34433333333333,22591.027939167292,21506.80320772198,SARIMAX
2025-11-13,0,0,0,590.239,16.34433333333333,22677.343472929137,14593.060758085387,SARIMAX
2025-11-14,0,0,0,590.239,16.34433333333333,22600.734530402704,17061.286776496454,SARIMAX
2025-11-15,0,1,1,590.239,16.34433333333333,29975.400179400094,32638.42972041572,SARIMAX
2025-11-16,0,0,1,590.239,16.34433333333333,22363.170681264113,21610.97658946724,SARIMAX
2025-11-17,0,0,0,590.239,16.34433333333333,22677.1507996733,19144.86320201705,SARIMAX
2025-11-18,0,0,0,590.239,16.34433333333333,22606.699188056587,16463.483367744087,SARIMAX
2025-11-19,0,0,0,590.239,16.34433333333333,22675.338848717296,23211.22471297511,SARIMAX
2025-11-20,0,0,0,590.239,16.34433333333333,22608.66090081988,20457.139172304254,SARIMAX
