ds,is_mega_sale_day,is_payday,is_weekend,aov,promo_intensity,base_forecast,hybrid_forecast,model
2025-10-31,0,1,0,590.239,16.34433333333333,22360.750991041885,15965.389174635635,SARIMA
2025-11-01,1,0,1,590.239,16.34433333333333,23226.654792668043,19874.641120793043,SARIMA
2025-11-02,0,0,1,590.239,16.34433333333333,23588.279415817462,19364.904904098712,SARIMA
2025-11-03,0,0,0,590.239,16.34433333333333,23792.181946131408,30136.927063318908,SARIMA
2025-11-04,0,0,0,590.239,16.34433333333333,22223.79799677739,21716.00536372075,SARIMA
2025-11-05,0,0,0,590.239,16.34433333333333,23472.40043195498,21748.44449933779,SARIMA
2025-11-06,0,0,0,590.239,16.34433333333333,23538.27489088148,22448.904529553354,SARIMA
2025-11-07,0,0,0,590.239,16.34433333333333,23131.523158282416,21348.14205476679,SARIMA
2025-11-08,0,0,1,590.239,16.34433333333333,23250.203114172604,16432.804676672604,SARIMA
2025-11-09,0,0,1,590.239,16.34433333333333,23093.697565295566,19202.84234068619,SARIMA
2025-11-10,0,0,0,590.239,16.34433333333333,23247.82022387973,25882.50528247348,SARIMA
2025-11-11,1,0,0,590.239,16.34433333333333,24284.095430345937,41942.26535222094,SARIMA
2025-11-12,0,0,0,590.239,16.34433333333333,23200.878381439066,20994.98897714219,SARIMA
2025-11-13,0,0,0,590.239,16.34433333333333,23210.860434255555,24066.01906462665,SARIMA
2025-11-14,0,0,0,590.239,16.34433333333333,23746.844257395474,24251.322284739224,SARIMA
2025-11-15,0,1,1,590.239,16.34433333333333,23682.425981766402,23324.796068436324,SARIMA
2025-11-16,0,0,1,590.239,16.34433333333333,23836.65591393913,29559.78482018913,SARIMA
2025-11-17,0,0,0,590.239,16.34433333333333,23704.34456130487,19634.432207789247,SARIMA
2025-11-18,0,0,0,590.239,16.34433333333333,22786.063766061732,13613.819625436732,SARIMA
2025-11-19,0,0,0,590.239,16.34433333333333,23747.66789771603,21216.071462169155,SARIMA
2025-11-20,0,0,0,590.239,16.34433333333333,23738.91886544798,20348.931804901105,SARIMA
2025-11-21,0,0,0,590.239,16.34433333333333,23263.327247797082,23812.589271722863,SARIMA
2025-11-22,0,0,1,590.239,16.34433333333333,23320.500134084436,19114.708141896936,SARIMA
2025-11-23,0,0,1,590.239,16.34433333333333,23183.641694243044,26945.94369619617,SARIMA
2025-11-24,0,0,0,590.239,16.34433333333333,23301.053381119964,21831.00137916684,SARIMA
2025-11-25,0,0,0,590.239,16.34433333333333,24115.920854911994,23563.840776786994,SARIMA
2025-11-26,0,0,0,590.239,16.34433333333333,23262.609255277137,22462.955629788856,SARIMA
2025-11-27,0,0,0,590.239,16.34433333333333,23270.373021253632,28736.099095472382,SARIMA
2025-11-28,0,0,0,590.239,16.34433333333333,23692.405193197297,18408.832439291047,SARIMA
2025-11-29,0,0,1,590.239,16.34433333333333,23641.670917378782,24209.051227437376,SARIMA
2025-11-30,0,1,1,590.239,16.34433333333333,23763.116842708765,23849.784849605738,SARIMA
2025-12-01,0,0,0,590.239,16.34433333333333,23658.927646183118,23153.432773136243,SARIMA
2025-12-02,0,0,0,590.239,16.34433333333333,22935.827674347976,21923.21500344954,SARIMA
2025-12-03,0,0,0,590.239,16.34433333333333,23693.042330166212,30444.623873134962,SARIMA
2025-12-04,0,0,0,590.239,16.34433333333333,23686.15289214453,26817.358702691407,SARIMA
2025-12-05,0,0,0,590.239,16.34433333333333,23311.64849544616,25161.421078453972,SARIMA
2025-12-06,0,0,1,590.239,16.34433333333333,23356.66925599624,34962.92413880874,SARIMA
2025-12-07,0,0,1,590.239,16.34433333333333,23248.900142594775,52898.56615821978,SARIMA
2025-12-08,0,0,0,590.239,16.34433333333333,23341.355919147856,25964.735313679106,SARIMA
2025-12-09,0,0,0,590.239,16.34433333333333,23983.02292159043,22335.925143270117,SARIMA
2025-12-10,0,0,0,590.239,16.34433333333333,23311.08311059671,25726.42539575296,SARIMA
2025-12-11,0,0,0,590.239,16.34433333333333,23317.1966843985,26759.81631330475,SARIMA
2025-12-12,1,0,0,590.239,16.34433333333333,23649.52571633185,20459.195394066224,SARIMA
2025-12-13,0,0,1,590.239,16.34433333333333,23609.575035105103,38076.7088241676,SARIMA
2025-12-14,0,0,1,590.239,16.34433333333333,23705.207570917144,134180.72319591715,SARIMA
2025-12-15,0,1,0,590.239,16.34433333333333,23623.163837947894,22257.94691900258,SARIMA
2025-12-16,0,0,0,590.239,16.34433333333333,23053.759110993342,19873.044267243342,SARIMA
2025-12-17,0,0,0,590.239,16.34433333333333,23650.02742953293,23157.685205411835,SARIMA
2025-12-18,0,0,0,590.239,16.34433333333333,23644.602344858056,23820.0056041354,SARIMA
2025-12-19,0,0,0,590.239,16.34433333333333,23349.699036807684,25945.41900751081,SARIMA
2025-12-20,0,0,1,590.239,16.34433333333333,23385.150613168895,16366.322488168895,SARIMA
2025-12-21,0,0,1,590.239,16.34433333333333,23300.28787636812,30364.30838418062,SARIMA
2025-12-22,0,0,0,590.239,16.34433333333333,23373.09213339218,15732.77768026718,SARIMA
2025-12-23,0,0,0,590.239,16.34433333333333,23878.372507548873,25840.097605205123,SARIMA
2025-12-24,1,0,0,590.239,16.34433333333333,23349.253824778414,16410.308512278414,SARIMA
2025-12-25,1,0,0,590.239,16.34433333333333,23354.06795554444,24004.315453103034,SARIMA
2025-12-26,0,0,0,590.239,16.34433333333333,23615.760292783558,15989.280800596058,SARIMA
2025-12-27,0,0,1,590.239,16.34433333333333,23584.30114796043,28584.51403858543,SARIMA
2025-12-28,0,0,1,590.239,16.34433333333333,23659.606942543476,27600.19458902785,SARIMA
2025-12-29,0,0,0,590.239,16.34433333333333,23595.0016442593,24637.658138399926,SARIMA
2025-12-30,1,0,0,590.239,16.34433333333333,23146.62416437177,19264.192767887394,SARIMA
2025-12-31,0,1,0,590.239,16.34433333333333,23616.15536660377,12154.147554103769,SARIMA
2026-01-01,1,0,0,590.239,16.34433333333333,23611.88338627142,21831.973840372983,SARIMA
2026-01-02,0,0,0,590.239,16.34433333333333,23379.6619174028,23700.098837568814,SARIMA
2026-01-03,0,0,1,590.239,16.34433333333333,23407.578244251537,24831.545529407787,SARIMA
2026-01-04,0,0,1,590.239,16.34433333333333,23340.75312274859,20451.88447040484,SARIMA
2026-01-05,0,0,0,590.239,16.34433333333333,23398.08280011907,20389.33133527532,SARIMA
2026-01-06,0,0,0,590.239,16.34433333333333,23795.965589067342,21289.488782426717,SARIMA
2026-01-07,0,0,0,590.239,16.34433333333333,23379.311335403298,23243.548151809548,SARIMA
2026-01-08,0,0,0,590.239,16.34433333333333,23383.10222037235,23248.78454764286,SARIMA
2026-01-09,0,0,0,590.239,16.34433333333333,23589.17172616084,22448.270725184277,SARIMA
2026-01-10,0,0,1,590.239,16.34433333333333,23564.399237617137,25950.111884101512,SARIMA
2026-01-11,0,0,1,590.239,16.34433333333333,23623.69874954193,23477.902256011657,SARIMA
2026-01-12,0,0,0,590.239,16.34433333333333,23572.825338309514,20367.69130510639,SARIMA
2026-01-13,0,0,0,590.239,16.34433333333333,23219.750706236187,18558.678440611187,SARIMA
2026-01-14,0,0,0,590.239,16.34433333333333,23589.4828268516,22689.1527487266,SARIMA
2026-01-15,0,1,0,590.239,16.34433333333333,23586.118857982226,24066.708366038867,SARIMA
2026-01-16,0,0,0,590.239,16.34433333333333,23403.256173395832,14843.135079645832,SARIMA
2026-01-17,0,0,1,590.239,16.34433333333333,23425.23887162017,18152.88535599517,SARIMA
2026-01-18,0,0,1,590.239,16.34433333333333,23372.6174616559,24923.036773179338,SARIMA
2026-01-19,0,0,0,590.239,16.34433333333333,23417.761688679842,20065.114227742342,SARIMA
