changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,daily_seasonality,weekly_seasonality,yearly_seasonality,rmse
0.1,5.0,additive,True,False,False,2222.775541770035
0.1,0.01,additive,True,False,False,2223.8827504520764
0.1,0.01,additive,False,False,False,2224.189346648377
0.1,0.1,additive,False,False,False,2224.189346648377
0.1,1.0,additive,False,False,False,2224.189346648377
0.1,0.05,additive,False,False,False,2224.189346648377
0.1,0.5,additive,False,False,False,2224.189346648377
0.1,10.0,additive,False,False,False,2224.189346648377
0.1,5.0,additive,False,False,False,2224.189346648377
0.1,10.0,additive,True,False,False,2224.7265493234745
0.1,0.5,additive,True,False,False,2224.9793431642483
0.1,0.05,additive,True,False,False,2225.868337449529
0.1,0.1,additive,True,False,False,2226.401756041312
0.1,1.0,additive,True,False,False,2227.0320488803513
0.1,0.01,additive,True,True,False,2227.245581877378
0.1,10.0,additive,False,True,False,2230.6302367581216
0.1,0.5,additive,True,True,False,2230.6760409003664
0.1,0.1,additive,False,True,False,2231.5287960474566
0.1,1.0,additive,True,True,False,2231.833227493294
0.1,0.01,additive,False,True,False,2232.188782312414
0.1,10.0,additive,True,True,False,2232.32809437334
0.1,5.0,additive,True,True,False,2232.4349091172744
0.1,0.05,additive,False,True,False,2232.694003040798
0.1,0.1,additive,True,True,False,2233.656132568791
0.1,0.05,additive,True,True,False,2233.9664301193015
0.1,1.0,additive,False,True,False,2234.333360921373
0.1,5.0,additive,False,True,False,2234.4260392891892
0.1,0.5,additive,False,True,False,2234.9499682014352
0.05,5.0,additive,True,False,False,2246.044241041273
0.05,0.05,additive,True,False,False,2247.9845064692026
0.05,0.5,additive,True,False,False,2248.817769305851
0.05,1.0,additive,True,False,False,2249.4488544593146
0.05,0.01,additive,True,True,False,2251.544082652512
0.05,0.1,additive,True,False,False,2251.814914057899
0.05,1.0,additive,True,True,False,2252.99019013603
0.05,0.01,additive,True,False,False,2253.441523072569
0.05,10.0,additive,True,False,False,2253.888297605147
0.05,5.0,multiplicative,False,False,False,2253.9004010379776
0.05,0.5,multiplicative,False,False,False,2253.9004010379776
0.05,0.1,multiplicative,False,False,False,2253.9004010379776
0.05,10.0,multiplicative,False,False,False,2253.9004010379776
0.05,0.05,multiplicative,False,False,False,2253.9004010379776
0.05,1.0,multiplicative,False,False,False,2253.9004010379776
0.05,0.01,multiplicative,False,False,False,2253.9004010379776
0.05,0.5,additive,False,False,False,2255.2037897035643
0.05,0.01,additive,False,False,False,2255.2037897035643
0.05,5.0,additive,False,False,False,2255.2037897035643
0.05,1.0,additive,False,False,False,2255.2037897035643
0.05,10.0,additive,False,False,False,2255.2037897035643
0.05,0.1,additive,False,False,False,2255.2037897035643
0.05,0.05,additive,False,False,False,2255.2037897035643
0.05,0.05,multiplicative,True,False,False,2258.1075031434116
0.05,0.01,additive,False,True,False,2258.5776947933578
0.05,0.1,additive,False,True,False,2258.677426072683
0.05,10.0,additive,True,True,False,2259.3363274505077
0.05,0.01,multiplicative,False,True,False,2259.4584341867544
0.05,0.05,additive,True,True,False,2259.6065478795285
0.05,0.5,additive,True,True,False,2260.6551793943554
0.05,0.05,additive,False,True,False,2260.6837493733487
0.05,0.01,multiplicative,True,False,False,2261.720755450858
0.05,0.1,additive,True,True,False,2262.022822571522
0.05,5.0,additive,True,True,False,2262.1749755046408
0.05,0.5,additive,False,True,False,2262.8523160727814
0.05,10.0,multiplicative,True,False,False,2263.3685371373945
0.05,5.0,additive,False,True,False,2263.7723302091567
0.1,0.01,additive,True,False,True,2263.792848742648
0.05,1.0,additive,False,True,False,2264.14966521687
0.05,0.1,multiplicative,True,False,False,2264.8474421918327
0.1,0.01,additive,False,False,True,2265.062887850353
0.05,0.1,multiplicative,True,True,False,2265.1450701997414
0.05,10.0,additive,False,True,False,2266.0900332863366
0.05,1.0,multiplicative,True,False,False,2267.7874057619365
0.05,0.05,multiplicative,False,True,False,2268.602887539293
0.05,0.05,multiplicative,True,True,False,2268.652462196878
0.1,0.05,additive,False,False,True,2269.553092636404
0.1,0.01,additive,True,True,True,2269.6449607172867
0.05,0.5,multiplicative,True,False,False,2270.3697554756436
0.05,0.01,multiplicative,True,True,True,2272.9134137997603
0.05,0.01,multiplicative,False,False,True,2273.199581462638
0.1,0.01,additive,False,True,True,2273.3708152181966
0.05,10.0,multiplicative,True,True,False,2273.5435905047325
0.05,1.0,multiplicative,True,True,False,2274.31885260787
0.1,0.1,additive,True,False,True,2275.34033455055
0.05,0.01,multiplicative,True,True,False,2275.3687496616044
0.1,5.0,additive,False,False,True,2276.4329230888475
0.05,5.0,multiplicative,True,True,False,2277.2478281728686
0.1,0.05,additive,True,False,True,2277.6261255051218
0.05,5.0,multiplicative,True,False,False,2278.0084177946837
0.1,0.1,additive,False,False,True,2278.050929859902
0.1,0.5,additive,True,False,True,2278.1525341661527
0.05,1.0,multiplicative,False,True,False,2278.662127328369
0.1,1.0,additive,True,False,True,2278.891127006771
0.1,1.0,additive,False,False,True,2281.159513148168
0.1,5.0,additive,True,False,True,2281.1654520411266
0.1,5.0,additive,False,True,True,2281.8517798699286
0.1,10.0,additive,True,False,True,2282.3182364956674
0.05,0.5,multiplicative,True,True,False,2282.860476433538
0.1,0.1,additive,False,True,True,2283.0806954339528
0.1,10.0,additive,False,False,True,2283.4354826104754
0.05,10.0,multiplicative,False,True,False,2283.6953810576015
0.1,0.1,additive,True,True,True,2283.8476662073294
0.05,0.01,multiplicative,True,False,True,2283.8769579755713
0.1,0.05,additive,False,True,True,2284.871771796968
0.1,0.5,additive,False,False,True,2284.9045746468987
0.05,0.5,multiplicative,False,True,False,2285.0201840364507
0.1,0.5,additive,False,True,True,2285.0220101013165
0.1,0.05,additive,True,True,True,2286.1910375071725
0.1,1.0,additive,True,True,True,2287.3275592193177
0.1,10.0,additive,True,True,True,2288.541187599959
0.1,0.5,additive,True,True,True,2289.26591405812
0.1,5.0,additive,True,True,True,2290.0093404477593
0.1,1.0,additive,False,True,True,2290.0394190563807
0.05,0.1,multiplicative,False,True,False,2292.1372663153697
0.5,10.0,additive,True,False,False,2293.356619512272
0.05,10.0,additive,True,False,True,2293.7805507989324
0.05,0.01,multiplicative,False,True,True,2293.7960209744974
0.1,10.0,additive,False,True,True,2293.872110343742
0.5,0.5,additive,False,False,False,2293.941430544002
0.5,10.0,additive,False,False,False,2293.941430544002
0.5,0.01,additive,False,False,False,2293.941430544002
0.5,1.0,additive,False,False,False,2293.941430544002
0.5,0.05,additive,False,False,False,2293.941430544002
0.5,0.1,additive,False,False,False,2293.941430544002
0.5,5.0,additive,False,False,False,2293.941430544002
0.5,0.5,additive,True,False,False,2294.0004381760004
0.5,0.1,additive,True,False,False,2295.1876845081533
0.5,5.0,additive,True,False,False,2295.216750939379
0.5,0.05,additive,True,False,False,2296.2437750564286
0.5,1.0,additive,True,False,False,2296.372626469778
0.05,0.01,additive,True,False,True,2296.4081065216546
0.5,0.01,additive,True,False,False,2296.627459139534
0.05,0.1,additive,True,True,True,2297.639198182706
0.05,0.01,additive,True,True,True,2298.340344156466
0.05,0.01,additive,False,False,True,2298.9889794376245
0.5,1.0,additive,True,True,False,2299.0068566459245
0.05,0.01,additive,False,True,True,2299.245085386075
0.5,5.0,additive,False,True,False,2299.463450294176
0.5,0.5,additive,True,True,False,2299.8039876731355
0.5,0.05,additive,True,True,False,2300.17161184858
0.5,5.0,additive,True,True,False,2300.1796684975448
0.5,0.01,additive,True,True,False,2300.29752113478
0.5,0.1,additive,False,True,False,2300.5661903671667
0.05,5.0,additive,True,False,True,2300.5744122058773
0.5,0.01,additive,False,True,False,2301.3268697139447
