horizon,rmse,mae
37 days,4070.3482458566914,2920.930169355593
38 days,4079.489198771952,2921.1186012223766
39 days,4112.746410145099,2943.3096731410146
40 days,4045.9353037653514,2942.0081584743343
41 days,3938.7376014379765,2898.1435058921056
42 days,3980.0637369144115,2916.3658760553003
43 days,4032.7094365433004,2958.6111352291464
44 days,4098.9290573708495,2994.4604584852214
45 days,4120.754817249966,3006.240029591923
46 days,4135.157767747696,3015.91094091591
47 days,4145.84330481195,3020.9979296531583
48 days,4160.361660883671,3022.316850736517
49 days,4195.233414860877,3041.681931217783
50 days,4224.789573289034,3067.9744987397976
51 days,4306.3949056245465,3135.7656403089045
52 days,4316.860611853798,3150.7700247986827
53 days,4427.618889789775,3204.2095783216473
54 days,4439.830201183741,3219.3743334409583
55 days,4453.349506409083,3237.260863889982
56 days,4446.771367448425,3217.8989351709265
57 days,4459.591389466058,3245.5962060116317
58 days,4678.473118818302,3324.3883268990076
59 days,4680.890524935524,3331.9073573973637
60 days,4671.209171899208,3334.3905246388686
61 days,4662.2867709471575,3334.5223303937337
62 days,4598.302352750262,3296.8418589230455
63 days,4524.03850492965,3239.193157590801
64 days,4574.633545865005,3285.5601764866324
65 days,4555.977090523188,3263.8601568943877
66 days,4531.297478116592,3237.723101565458
67 days,4436.252402175058,3203.5360957531375
68 days,4313.789200112546,3134.375455030189
69 days,4285.589955953501,3103.5456035965904
70 days,4282.187104736573,3092.9208338938993
71 days,4314.556754916216,3109.24422588496
72 days,4313.13850233953,3109.358229537648
73 days,4272.895984778262,3069.6981716562545
74 days,4236.321868442615,3037.9686496376326
75 days,4205.200038375471,3008.23172648543
76 days,4166.960445479817,2976.6913625783927
77 days,4150.192300003261,2958.295936452835
78 days,4165.152166308232,2982.349709187632
79 days,4133.687519861343,2962.282927700774
80 days,4167.281363733642,2960.3925404855268
81 days,4128.607880404782,2928.0593900006293
82 days,4137.566604944973,2943.572845892429
83 days,4116.426738757669,2929.9572447919263
84 days,4117.781610936292,2942.4985248417042
85 days,4311.18183491408,2998.521124984769
86 days,4306.284231696607,3010.1940354114786
87 days,4262.589897546406,2988.408439719996
88 days,4226.034139867999,2953.4690697714896
89 days,4157.405091350565,2912.4150287572274
90 days,4065.4876318180573,2842.9768152498477
91 days,4103.374240104182,2867.4006475401275
92 days,4077.696747126104,2840.675831247238
93 days,4064.5113476539664,2836.5983262103396
94 days,3918.1659262608596,2781.142317430167
95 days,3746.3176237674124,2698.833106614007
96 days,3728.433887793376,2677.490872788691
97 days,3711.612491592539,2664.2381083791493
98 days,3743.005019607482,2658.9423159147873
99 days,3794.9522250315827,2702.4212319416274
100 days,3756.172012922868,2668.764320176397
101 days,3728.751912542045,2648.0097992894657
102 days,3734.312881959527,2657.877194182363
103 days,3716.5266255026204,2643.7894087772634
104 days,3685.3950339379635,2609.6104618697377
105 days,3725.3122113325203,2638.759059483344
106 days,3694.061623482902,2604.4130443995055
107 days,3726.7865250557506,2602.638186916647
108 days,3678.8446508210964,2564.73735576849
109 days,3693.677460772534,2586.5479892823123
110 days,3715.162550031749,2603.446592765461
111 days,3727.520396874775,2613.2339188125457
112 days,3907.4245426075745,2694.674173628271
113 days,3949.08316676943,2741.6911470951964
114 days,4021.093524259972,2786.1187948368897
115 days,3998.1924606279454,2771.4934088502764
116 days,3944.593352872444,2743.146932677349
117 days,3906.3212085499144,2733.568291008571
118 days,3972.590192149339,2784.1903023257455
119 days,3945.7190835096335,2756.3567965247858
120 days,3954.1612294567435,2772.6142201853927
121 days,3830.303038118822,2728.81383786869
122 days,3668.6518218894707,2646.3084134184614
123 days,3659.5019671590694,2635.3247839083074
124 days,3683.266391886497,2658.212514713473
125 days,3741.367587907563,2695.7586413838258
126 days,3798.760183422301,2741.0744483617477
127 days,3775.9613387332925,2722.755359599556
128 days,3766.9598333313847,2736.161385935194
129 days,3762.072221838304,2730.222922374685
130 days,3760.762736254902,2729.879415082135
131 days,3752.6544359531617,2725.7453312865996
132 days,3820.5741789709377,2769.7375590402667
133 days,3794.5271539536893,2732.2107357824316
134 days,3764.945137576103,2709.502202093616
135 days,3723.3498936584297,2684.915074882688
136 days,3705.8623586498616,2664.744142959933
137 days,3734.8527469709097,2684.92771833803
138 days,3772.7582475478594,2701.619284063374
139 days,3918.2105858629843,2766.740742251474
140 days,3972.155555535517,2828.7975805283068
141 days,4100.660786598919,2921.3011236218777
142 days,4113.211553169088,2942.8191803985014
143 days,4088.011868310794,2930.676861444997
144 days,4092.9353063012386,2937.985284987208
145 days,4231.838057457795,3020.544303437965
146 days,4216.21887737999,3009.1118772909085
147 days,4223.595367621301,3024.195540864504
148 days,4157.643149708346,3008.060976304257
149 days,4056.6649416616,2945.5127847091144
150 days,4032.820986540888,2944.349747549724
151 days,4035.559464231061,2960.4211617011792
152 days,4157.557847677437,3027.7692181016882
153 days,4212.23012484,3066.117829760491
154 days,4185.315852993,3043.4623104468455
155 days,4182.495461666047,3063.282158899989
156 days,4174.760331945934,3048.0881638581122
157 days,4182.381345252185,3062.854018665841
