horizon,rmse,mae
37 days,11155.669395640143,7147.72230996519
38 days,11082.789135646717,7060.381947944445
39 days,11059.308970406788,7060.364831309159
40 days,11071.136736478238,7088.394402489927
41 days,11087.642172979266,7128.109208582661
42 days,11087.478474087076,7136.029425553276
43 days,11120.145568646542,7188.468580443461
44 days,11108.684084136346,7176.796522289759
45 days,11068.58317520178,7127.349201730695
46 days,11275.424740350274,7213.544925805269
47 days,11355.95136053436,7266.530067492814
48 days,11314.799724064911,7217.211145286298
49 days,11333.851606189002,7250.606666288664
50 days,11574.248977585887,7418.020168301418
51 days,11576.71898499336,7469.792225940642
52 days,11558.471567731089,7485.139491702144
53 days,11583.10580429781,7510.589815642947
54 days,12140.310346492159,7728.379246949087
55 days,11965.92304082584,7658.688630561494
56 days,11750.116547177162,7513.393464855445
57 days,11657.069139001405,7480.084542088592
58 days,11577.617856503923,7451.15938810493
59 days,11462.465035845806,7334.448091136003
60 days,11838.192869476334,7587.716833235702
61 days,12007.374220158124,7692.948143907643
62 days,12057.082498961057,7757.230711529138
63 days,12098.72462084595,7839.390058598248
64 days,12042.578664835066,7821.310469633807
65 days,11819.158492747372,7670.849386268745
66 days,11717.452195117887,7548.177879243789
67 days,11675.677269900963,7475.598542764988
68 days,12117.592891582399,7611.538530496418
69 days,12082.312992501335,7575.851934563204
70 days,12092.12392799886,7600.344677212237
71 days,12104.613941125708,7644.839703926668
72 days,11474.911597276048,7473.406128815799
73 days,10804.540114734204,7283.353047858786
74 days,10630.89597592297,7192.805459127569
75 days,10614.298428011398,7216.215756156059
76 days,10568.729397030917,7188.645144919389
77 days,10518.544229593712,7156.146970364396
78 days,11015.943762841345,7420.775518425317
79 days,11039.214774216836,7448.646679207333
80 days,11058.596610236438,7495.518801069179
81 days,11197.041760091472,7611.372440535636
82 days,11198.557702821035,7702.723771949709
83 days,11091.153515820946,7683.1832719239765
84 days,11018.113899414384,7613.936481406573
85 days,11093.421484713788,7635.388447852627
86 days,10943.116063769728,7543.946725161873
87 days,10767.837810425923,7410.536553933649
88 days,10720.217442497478,7331.171148360407
89 days,10793.831072820596,7388.00004560334
90 days,10430.93063332805,7305.9667492400495
91 days,10020.640416229544,7151.657082154825
92 days,10125.592044171712,7243.565587789123
93 days,10250.623882127456,7377.265990696837
94 days,10307.241628661726,7446.968502358203
95 days,10279.102017341931,7427.670936143547
96 days,10214.573813303712,7441.795524949665
97 days,9995.053367027838,7359.349920750433
